                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r23.05.1"                               "gfortran"                                 "13.1.0"                  "aarch64-macos-23.10.1"                                 "CRMATH"                               "20231217"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      677                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999826399999E-001                  3.6364564581616951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999826399999E-001                  3.6364564581616951E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196411828373E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6533196411828381E+000                 -5.6533196412021187E+000                 -1.6005974465560122E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6863892169809325E+000                  8.2445269338928706E-001                  5.6210107359727579E-001                  3.5569035287948760E+000                  0.0000000000000000E+000                  1.4202031938217550E+001                 -4.9393328406061399E-001                  6.5802635096356177E+000                  6.3673137642269384E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724265E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                       5                                      681                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196410278270E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6533196410278270E+000                 -5.6533196410471076E+000                 -1.6005974465072889E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864742120132368E+000                  8.2479267090302399E-001                  5.6210107228953510E-001                  3.5569035314103572E+000                  0.0000000000000000E+000                  1.4202031938281419E+001                 -4.9393328401103520E-001                  6.5802635096499253E+000                  6.3673137642268340E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      10                                      681                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196405719961E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6533196405719970E+000                 -5.6533196405912776E+000                 -1.6005974463635273E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864688564284394E+000                  8.2477119345700378E-001                  5.6210104473611966E-001                  3.5569035865171883E+000                  0.0000000000000000E+000                  1.4202031938467568E+001                 -4.9393328386696450E-001                  6.5802635096920534E+000                  6.3673137642265298E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      15                                      681                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  4.0888370122984796E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196394269982E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6533196394269982E+000                 -5.6533196394462788E+000                 -1.6005974460019278E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864674508495328E+000                  8.2476554619763964E-001                  5.6210103226425179E-001                  3.5569036114609238E+000                  0.0000000000000000E+000                  1.4202031938934118E+001                 -4.9393328350648480E-001                  6.5802635097982316E+000                  6.3673137642257616E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      20                                      681                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6813243416090491E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6813243416090491E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196365664455E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6533196365664455E+000                 -5.6533196365857270E+000                 -1.6005974450982059E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864670740996597E+000                  8.2476402764774692E-001                  5.6210102648905047E-001                  3.5569036230113262E+000                  0.0000000000000000E+000                  1.4202031940098584E+001                 -4.9393328260736979E-001                  6.5802635100638476E+000                  6.3673137642238320E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      25                                      681                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6443331192858044E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6443331192858044E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196294374513E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6533196294374513E+000                 -5.6533196294567327E+000                 -1.6005974428459400E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864669882043368E+000                  8.2476367812317786E-001                  5.6210102351741287E-001                  3.5569036289546014E+000                  0.0000000000000000E+000                  1.4202031942999698E+001                 -4.9393328036796402E-001                  6.5802635107261986E+000                  6.3673137642190192E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      30                                      681                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6382348470670831E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6382348470670831E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533196116869426E+000                 -9.8999999999999986E+001                 -2.1373129692142662E+001                 -5.6533196116869426E+000                 -5.6533196117062232E+000                 -1.6005974372385037E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864669716475449E+000                  8.2476360646317326E-001                  5.6210102080099345E-001                  3.5569036343874405E+000                  0.0000000000000000E+000                  1.4202031950222359E+001                 -4.9393327479335286E-001                  6.5802635123758444E+000                  6.3673137642070265E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      35                                      681                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6369012824995155E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6369012824995155E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533195675050045E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.6533195675050045E+000                 -5.6533195675242851E+000                 -1.6005974232820250E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864669684706017E+000                  8.2476358389503723E-001                  5.6210101587081140E-001                  3.5569036442478046E+000                  0.0000000000000000E+000                  1.4202031968199210E+001                 -4.9393326091922374E-001                  6.5802635164824990E+000                  6.3673137641771715E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
                                      40                                      681                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6365925691304389E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999834212505E-001                  3.6365925691304389E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.6533194575527572E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.6533194575527581E+000                 -5.6533194575720387E+000                 -1.6005973885501071E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6864669681264735E+000                  8.2476355960282499E-001                  5.6210100441296251E-001                  3.5569036671635024E+000                  0.0000000000000000E+000                  1.4202032012936467E+001                 -4.9393322639289705E-001                  6.5802635267032095E+000                  6.3673137641028565E-001                  8.3500532100629521E-001                  1.3389885073860692E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1703250411792336E-003                  1.4070791467724270E-002                  5.1703250411792318E-003                  1.4070791467724263E-002                  1.1724999999999997E+000                  5.2494412943390434E-001                                        0                                        2 
